g1004.t1	tr|D8TQ30|D8TQ30_VOLCA	70.994	493	492	486	0.0	664	99
g10153.t1	tr|A0A2K3CW68|A0A2K3CW68_CHLRE	56.271	295	1196	2764	1.06e-100	349	24
g10153.t1	tr|A0A835T9S6|A0A835T9S6_CHLIN	58.478	289	1196	1856	2.85e-100	347	24
g10153.t1	tr|A0A835T0V6|A0A835T0V6_9CHLO	55.096	314	1196	2002	1.79e-98	342	26
g10153.t1	tr|A0A835Y443|A0A835Y443_9CHLO	47.279	294	1196	1354	2.84e-86	303	24
g10153.t1	tr|A0A150GRG7|A0A150GRG7_GONPE	67.692	195	1196	438	3.64e-82	272	16
g10153.t1	tr|A0A835YBW2|A0A835YBW2_9CHLO	48.947	190	1196	2287	5.48e-49	187	16
g10186.t1	tr|D8U0G9|D8U0G9_VOLCA	37.176	347	997	2492	4.08e-62	227	35
g10186.t1	tr|A0A835T6C7|A0A835T6C7_CHLIN	36.203	395	997	3726	5.48e-61	224	37
g10206.t1	tr|A0A835TG42|A0A835TG42_CHLIN	93.773	273	273	797	1.10e-146	426	100
g10255.t1	tr|A0A2K3CW68|A0A2K3CW68_CHLRE	100.000	264	285	2764	3.11e-158	484	93
g10255.t1	tr|A0A835T0V6|A0A835T0V6_9CHLO	74.576	177	285	2002	4.27e-85	274	62
g10255.t1	tr|A0A150GRG7|A0A150GRG7_GONPE	66.000	150	285	438	1.44e-62	200	53
g10255.t1	tr|A0A835T9S6|A0A835T9S6_CHLIN	63.291	158	285	1856	2.17e-62	209	55
g10255.t1	tr|A0A835Y443|A0A835Y443_9CHLO	46.497	157	285	1354	1.31e-45	160	55
g10255.t1	tr|A0A835YBW2|A0A835YBW2_9CHLO	48.993	149	285	2287	3.48e-38	139	52
g10294.t1	tr|A0A835T7L9|A0A835T7L9_CHLIN	45.411	207	1215	1756	6.74e-34	138	17
g10390.t1	tr|A0A835SUQ0|A0A835SUQ0_CHLIN	51.938	129	938	2087	7.91e-26	111	25
g10390.t1	tr|A0A835SUQ0|A0A835SUQ0_CHLIN	46.729	107	938	2087	1.75e-17	84.0	25
g10390.t1	tr|A0A835XG35|A0A835XG35_9CHLO	37.838	185	938	1559	4.02e-24	105	28
g10390.t1	tr|A0A835XG35|A0A835XG35_9CHLO	43.443	122	938	1559	2.66e-13	70.5	28
g10401.t1	tr|A0A2J7ZZC2|A0A2J7ZZC2_9CHLO	32.374	139	173	2436	1.46e-17	75.5	80
g10487.t1	tr|A0A835TCJ4|A0A835TCJ4_CHLIN	27.273	143	604	3127	7.48e-13	68.2	22
g10523.t1	tr|A0A836BAU5|A0A836BAU5_9CHLO	84.979	466	427	595	0.0	671	100
g10538.t1	tr|A0A150H1Z0|A0A150H1Z0_GONPE	24.424	217	625	865	9.91e-13	67.4	32
g10570.t1	tr|A0A835SUQ0|A0A835SUQ0_CHLIN	61.530	863	963	2087	0.0	921	89
g10570.t1	tr|A0A835XG35|A0A835XG35_9CHLO	33.613	833	963	1559	2.37e-85	297	85
g10570.t1	tr|A0A836C725|A0A836C725_9CHLO	48.503	167	963	1448	4.97e-34	137	17
g10570.t1	tr|A0A835SQ00|A0A835SQ00_CHLIN	40.994	161	963	2810	2.05e-27	116	17
